Account,Status,Source_Row,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Total
anonymized name,Layer 1 Item,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statement (12 months),Layer 1 Item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Period = May 2024-Apr 2025,Layer 1 Item,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Book = Accrual ; Tree = xxxxxxx,Layer 1 Item,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
May 2024,Layer 1 Item,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEADER,Layer 1 Item,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4000-0200,Layer 1 Item,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RENTAL INCOME,Layer 1 Item,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Market Rent,Layer 1 Item,9,541876.02,534479.26,560446.98,550390.91,566597.88,580038.65,587087.5,577729.94,581084.28,611803.9,617025.95,6853883.13,13162444.4
Loss or Gain to Lease,Layer 1 Item,10,-20766.98,-10372.77,-35514.78,-23248.15,-38762.85,-49506.25,-53822.89,-42420.78,-42525.47,-67753.36,-70816.67,-479571.38,-935082.3299999998
Less: Vacancy,Layer 1 Item,12,-49129.93,-37745.82,-44193.69,-33849.94,-41757.52,-39522.56,-40828.18,-41440.18,-35402.34,-33224.51,-33000.36,-479265.3,-909360.3300000001
Less Vacancy – Casualty Loss,Layer 1 Item,13,-5399.9,-5358.15,-5684.9,-2670.75,0.0,0.0,0.0,0.0,0.0,-747.28,-854.82,-27260.78,-47976.579999999994
Less: One-Time Concessions - New Lease,Layer 1 Item,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,0.0,0.0,-150.0,-300.0
Less: One-Time Concessions - Straight Line Concessions,Layer 1 Item,15,-303.56,-305.21,-273.6,-215.0,-220.08,-189.83,-159.17,-412.93,380.06,-51.07,-49.42,-2113.49,-3913.2999999999993
Less: Recurring Concessions - New Lease,Layer 1 Item,16,0.0,0.0,0.0,-155.0,0.0,0.0,-553.0,-553.0,0.0,0.0,0.0,-1261.0,-2522.0
Less: Recurring Concessions - Renewal,Layer 1 Item,17,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,-85.0,0.0,0.0,0.0,-170.0,-340.0
Bad Debt Rent Expense,Layer 1 Item,18,-10447.32,-15587.01,-20721.19,-28728.18,-11071.84,-27880.39,-26679.37,-15633.52,-18288.55,-6622.92,-16822.16,-218568.45,-417050.9
Bad Debt Rent Recovery,Layer 1 Item,19,0.0,0.0,0.0,0.0,0.0,0.0,380.81,582.82,105.0,1794.55,1289.18,4152.36,8304.720000000001
OTHER INCOME,Layer 1 Item,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANCILLARY INCOME,Layer 1 Item,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4205-0000,Layer 1 Item,25,1205.17,1205.17,-2905.81,1106.08,1106.08,-201.85,844.49,844.49,844.5,-4222.47,0.0,5851.72,5677.57
Cable Income Amortization,Layer 1 Item,26,652.08,652.08,652.08,652.08,652.08,652.08,652.08,652.08,652.08,652.08,652.08,7824.96,14997.84
Financial Service Referral Fees,Layer 1 Item,27,476.5,446.5,1826.5,416.5,469.5,-21.5,376.5,181.5,241.5,191.5,196.5,5403.0,10204.5
