Account,Status,Source_Row,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12,Total
property name,Layer 1 Item,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
address,Layer 1 Item,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Accrual Basis,Layer 1 Item,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jun 2024 - May 2025,Layer 1 Item,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Income Statement: Property Look-Up Code,Layer 1 Item,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Revenue,Layer 1 Item,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Student Rent,Layer 1 Item,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income|Net Operating Income|Revenue|Net Student Rent,Layer 1 Item,9,4000.0,1.0,553721.0,0.0,0.0,4.0,105425.0,3101.0,1.0,2.0,1.0,1.0,666257.0
Net Income|Net Operating Income|Revenue|Net Student Rent,Layer 1 Item,11,4020.0,1.0,554040.0,3.0,0.0,4.0,105425.0,3101.0,1.0,0.0,0.0,0.0,666595.0
Net Income|Net Operating Income|Revenue|Net Student Rent,Layer 1 Item,12,4030.0,1.0,554039.0,4.0,0.0,4.0,105425.0,3101.0,1.0,1.0,1.0,1.0,666608.0
Net Income|Net Operating Income|Revenue|Net Student Rent,Layer 1 Item,13,4040.0,1.0,553726.0,5.0,0.0,4.0,105425.0,3101.0,1.0,2.0,1.0,2.0,666308.0
Net Income|Net Operating Income|Revenue|Net Student Rent,Layer 1 Item,14,4050.0,1.0,554514.0,6.0,0.0,4.0,105425.0,3101.0,0.0,1.0,1.0,1.0,667104.0
507808.57000000007,Layer 1 Item,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other Income,Layer 1 Item,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,18,4100.0,1.0,553693.0,0.0,0.0,4.0,105424.0,3101.0,1.0,1.0,1.0,0.0,666326.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,19,4120.0,1.0,553695.0,2.0,0.0,4.0,105424.0,3101.0,1.0,1.0,1.0,0.0,666350.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,20,4140.0,1.0,554036.0,4.0,0.0,4.0,105424.0,3101.0,1.0,1.0,1.0,1.0,666714.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,21,4141.0,1.0,1798600.0,5.0,0.0,4.0,105424.0,3101.0,0.0,0.0,0.0,0.0,1911276.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,22,4145.0,1.0,553708.0,6.0,0.0,4.0,105424.0,3101.0,0.0,0.0,1.0,0.0,666390.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,23,4190.0,1.0,554029.0,14.0,0.0,4.0,105424.0,3101.0,0.0,0.0,0.0,2.0,666765.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,24,4200.0,1.0,554028.0,15.0,0.0,4.0,105424.0,3101.0,0.0,1.0,0.0,1.0,666775.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,25,4240.0,1.0,553712.0,20.0,0.0,4.0,105424.0,3101.0,1.0,1.0,1.0,1.0,666506.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,26,4260.0,1.0,554022.0,22.0,0.0,4.0,105424.0,3101.0,0.0,0.0,0.0,1.0,666835.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,27,4270.0,1.0,553706.0,23.0,0.0,4.0,105424.0,3101.0,1.0,1.0,1.0,1.0,666533.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,29,4310.0,1.0,554019.0,29.0,0.0,4.0,105424.0,3101.0,1.0,1.0,1.0,1.0,666892.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,30,4320.0,1.0,553722.0,30.0,0.0,4.0,105424.0,3101.0,1.0,1.0,0.0,1.0,666605.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,31,4342.0,1.0,554015.0,34.0,0.0,4.0,105424.0,3101.0,1.0,1.0,1.0,1.0,666925.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,32,4350.0,1.0,554014.0,36.0,0.0,4.0,105424.0,3101.0,1.0,1.0,1.0,1.0,666934.0
Net Income|Net Operating Income|Revenue|Other Income,Layer 1 Item,33,4370.0,1.0,553700.0,38.0,0.0,4.0,105424.0,3101.0,1.0,0.0,0.0,1.0,666640.0
